
station,subcount,custcount,total_rides,subratio
Townsend at 7th,13535,535,14070,0.9619758351101635
San Francisco Caltrain (Townsend at 4th),12863,717,13580,0.94720176730486
2nd at Townsend,12763,644,13407,0.9519653912135452
Embarcadero at Sansome,9937,2376,12313,0.807033216925201
Market at Sansome,10476,625,11101,0.943698765876948
2nd at South Park,10171,403,10574,0.9618876489502554
Steuart at Market,9681,713,10394,0.931402732345584
San Francisco Caltrain 2 (330 Townsend),9491,354,9845,0.9640426612493651
Temporary Transbay Terminal (Howard at Beale),9604,220,9824,0.9776058631921825
Market at 10th,9096,504,9600,0.9475
Embarcadero at Folsom,9171,366,9537,0.9616231519345706
2nd at Folsom,8676,306,8982,0.9659318637274549
Howard at 2nd,8548,346,8894,0.9610973690128176
Market at 4th,7088,860,7948,0.8917966784096628
Harry Bridges Plaza (Ferry Building),5827,1500,7327,0.7952777398662482
Broadway St at Battery St,7053,236,7289,0.9676224447798052
Commercial at Montgomery,6835,304,7139,0.9574170051827987
Beale at Market,6461,294,6755,0.9564766839378238
Embarcadero at Vallejo,5909,774,6683,0.8841837498129582
5th at Howard,5830,404,6234,0.9351940968880333
