
start_station_id,latitude,longitude,weight
89,37.332398,-121.890429,2
4,37.333988,-121.894902,770
88,37.331957,-121.88163,4
91,37.785908,-122.408891,6
34,37.443988,-122.164759,1030
27,37.389218,-122.081896,523
80,37.352601,-121.905733,17
24,37.484219,-122.227424,18
69,37.7766,-122.39547,22034
45,37.794231,-122.402923,1299
26,37.487682,-122.223492,20
90,37.780148,-122.403158,21
23,37.487616,-122.229951,25
64,37.782259,-122.392738,3102
68,37.784878,-122.401014,1313
62,37.785299,-122.396236,3107
25,37.48537,-122.203288,40
38,37.4256839,-122.1377775,41
21,37.481758,-122.226904,49
9,37.348742,-121.894715,820
14,37.332692,-121.900084,56
49,37.790302,-122.390637,3131
54,37.787152,-122.388013,5950
12,37.332808,-121.883891,67
16,37.333955,-121.877349,582
61,37.780526,-122.390288,7238
5,37.331415,-121.8932,72
3,37.330698,-121.888979,329
35,37.444521,-122.163093,76
51,37.791464,-122.391034,2638
58,37.77865,-122.418235,1360
36,37.429082,-122.142805,85
76,37.786305,-122.404966,2389
77,37.789625,-122.400811,4437
7,37.333798,-121.886943,602
66,37.774814,-122.418954,4449
48,37.799953,-122.398525,354
50,37.795392,-122.394203,17251
10,37.337391,-121.886995,102
72,37.781039,-122.411748,5228
75,37.7913,-122.399051,1653
57,37.781752,-122.405127,2683
13,37.339301,-121.889937,383
84,37.342725,-121.895617,1152
6,37.336721,-121.894074,390
82,37.798541,-122.400862,1674
30,37.395337,-122.052476,907
37,37.448598,-122.159504,410
42,37.79728,-122.398436,2202
47,37.788975,-122.403452,669
41,37.795001,-122.39997,928
22,37.486078,-122.232089,929
65,37.771058,-122.402717,5544
56,37.792251,-122.397086,4012
71,37.788446,-122.408499,3757
73,37.7979,-122.405942,8621
83,37.491269,-122.236234,181
31,37.400443,-122.108338,187
28,37.394358,-122.076713,1981
39,37.783871,-122.408433,3778
70,37.776617,-122.39526,33732
29,37.40694,-122.106758,710
8,37.330165,-121.885831,455
11,37.335885,-121.88566,455
46,37.795425,-122.404767,979
67,37.776619,-122.417385,5845
74,37.794139,-122.394434,10454
59,37.781332,-122.418603,2775
63,37.786978,-122.398108,2012
32,37.385956,-122.083678,486
60,37.80477,-122.403234,5356
2,37.329732,-121.901782,4337
55,37.789756,-122.394643,16121
33,37.420909,-122.080623,506
