
start_station_id,latitude,longitude,weight
33,37.420909,-122.080623,294
23,37.487616,-122.229951,29
50,37.795392,-122.394203,6482
54,37.787152,-122.388013,3181
88,37.331957,-121.88163,3
61,37.780526,-122.390288,3154
48,37.799953,-122.398525,1930
72,37.781039,-122.411748,1926
6,37.336721,-121.894074,612
9,37.348742,-121.894715,451
82,37.798541,-122.400862,859
46,37.795425,-122.404767,1376
69,37.7766,-122.39547,1970
32,37.385956,-122.083678,217
75,37.7913,-122.399051,1046
55,37.789756,-122.394643,1012
13,37.339301,-121.889937,264
90,37.780148,-122.403158,23
8,37.330165,-121.885831,303
60,37.80477,-122.403234,6371
29,37.40694,-122.106758,198
41,37.795001,-122.39997,1107
5,37.331415,-121.8932,138
37,37.448598,-122.159504,219
38,37.4256839,-122.1377775,164
39,37.783871,-122.408433,2835
24,37.484219,-122.227424,52
34,37.443988,-122.164759,346
12,37.332808,-121.883891,212
30,37.395337,-122.052476,161
76,37.786305,-122.404966,3248
28,37.394358,-122.076713,518
70,37.776617,-122.39526,2654
74,37.794139,-122.394434,2353
89,37.332398,-121.890429,8
59,37.781332,-122.418603,952
27,37.389218,-122.081896,231
4,37.333988,-121.894902,514
73,37.7979,-122.405942,2802
35,37.444521,-122.163093,564
77,37.789625,-122.400811,2085
14,37.332692,-121.900084,415
51,37.791464,-122.391034,1422
36,37.429082,-122.142805,316
62,37.785299,-122.396236,1164
80,37.352601,-121.905733,71
91,37.785908,-122.408891,14
56,37.792251,-122.397086,1294
57,37.781752,-122.405127,1599
83,37.491269,-122.236234,43
45,37.794231,-122.402923,877
7,37.333798,-121.886943,492
84,37.342725,-121.895617,305
66,37.774814,-122.418954,1607
49,37.790302,-122.390637,1413
22,37.486078,-122.232089,145
71,37.788446,-122.408499,2123
3,37.330698,-121.888979,394
2,37.329732,-121.901782,632
65,37.771058,-122.402717,1975
21,37.481758,-122.226904,62
16,37.333955,-121.877349,319
64,37.782259,-122.392738,1423
58,37.77865,-122.418235,873
25,37.48537,-122.203288,34
68,37.784878,-122.401014,1520
67,37.776619,-122.417385,2234
63,37.786978,-122.398108,1081
10,37.337391,-121.886995,166
47,37.788975,-122.403452,1143
26,37.487682,-122.223492,18
11,37.335885,-121.88566,265
42,37.79728,-122.398436,1448
31,37.400443,-122.108338,128
