
Bike_num,Ride_date,Matches,Totalrides,Ratio
529,2013-11-02,1,8,0.125
368,2016-05-14,2,8,0.25
603,2014-09-13,2,8,0.25
564,2015-09-12,3,8,0.375
468,2014-08-30,5,8,0.625
560,2016-08-13,7,8,0.875
607,2014-12-21,7,7,1.0
538,2016-08-14,7,7,1.0
350,2016-08-14,7,7,1.0
384,2014-04-12,6,9,0.6666666666666666
353,2016-05-14,1,7,0.14285714285714285
530,2015-06-27,4,7,0.5714285714285714
268,2015-05-30,4,7,0.5714285714285714
381,2013-10-06,4,7,0.5714285714285714
456,2013-09-28,4,7,0.5714285714285714
440,2015-03-29,5,7,0.7142857142857143
581,2015-03-28,5,7,0.7142857142857143
376,2014-03-09,5,7,0.7142857142857143
463,2013-11-02,5,7,0.7142857142857143
535,2014-05-17,5,7,0.7142857142857143
469,2014-10-25,3,7,0.42857142857142855
510,2013-09-22,3,7,0.42857142857142855
687,2015-03-21,3,7,0.42857142857142855
280,2013-11-10,6,7,0.8571428571428571
415,2016-08-13,6,7,0.8571428571428571
519,2013-10-19,6,7,0.8571428571428571
551,2015-06-06,6,7,0.8571428571428571
197,2016-07-02,6,7,0.8571428571428571
517,2013-11-09,6,7,0.8571428571428571
517,2015-06-27,0,1,0.0
376,2015-03-28,0,1,0.0
556,2014-03-02,0,1,0.0
368,2016-01-31,0,1,0.0
389,2014-07-13,0,1,0.0
442,2015-08-15,0,1,0.0
587,2015-07-04,0,1,0.0
315,2014-10-25,0,1,0.0
313,2013-11-30,0,1,0.0
280,2014-07-05,0,1,0.0
412,2014-12-21,0,1,0.0
352,2014-12-21,0,1,0.0
271,2013-12-15,0,1,0.0
394,2015-08-29,0,1,0.0
340,2014-05-25,0,1,0.0
432,2014-11-16,0,1,0.0
285,2016-05-15,0,1,0.0
285,2016-07-03,0,1,0.0
504,2015-07-19,0,1,0.0
413,2013-11-23,0,1,0.0
277,2015-05-31,0,1,0.0
878,2016-03-19,0,1,0.0
502,2016-07-30,0,1,0.0
483,2015-04-11,0,1,0.0
432,2016-04-24,0,1,0.0
284,2015-03-08,0,1,0.0
516,2014-06-15,0,1,0.0
589,2016-01-17,0,1,0.0
431,2014-02-16,0,1,0.0
636,2013-10-26,0,1,0.0
418,2014-05-17,0,1,0.0
439,2014-02-01,0,1,0.0
354,2015-02-14,0,1,0.0
572,2016-08-27,0,1,0.0
520,2015-08-01,0,1,0.0
482,2016-05-22,0,1,0.0
209,2014-11-01,0,1,0.0
526,2014-06-08,0,1,0.0
484,2014-08-10,0,1,0.0
109,2014-09-20,0,1,0.0
455,2013-10-06,0,1,0.0
584,2015-04-19,0,1,0.0
328,2015-08-08,0,1,0.0
343,2014-05-04,0,1,0.0
67,2015-09-12,0,1,0.0
322,2014-05-24,0,1,0.0
452,2015-02-15,0,1,0.0
