
trip_id,duration_sec,start_date,start_station_name,start_station_id,end_date,end_station_name,end_station_id,bike_number,zip_code,subscriber_type
944732,2618,2015-09-24 17:22:00,Mezes,83,2015-09-24 18:06:00,Mezes,83,653,94063,Customer
1030383,5780,2015-12-06 10:52:00,Mezes,83,2015-12-06 12:28:00,Mezes,83,44,94064,Customer
1102641,801,2016-02-23 12:25:00,Mezes,83,2016-02-23 12:39:00,Mezes,83,174,93292,Customer
1102613,1334,2016-02-23 12:00:00,San Mateo County Center,23,2016-02-23 12:22:00,Mezes,83,174,93292,Customer
1114916,1642,2016-03-03 21:54:00,Redwood City Public Library,24,2016-03-03 22:22:00,Mezes,83,208,94063,Customer
1114919,1377,2016-03-03 22:00:00,Redwood City Public Library,24,2016-03-03 22:23:00,Mezes,83,52,94063,Customer
1210164,232,2016-05-20 21:33:00,Redwood City Caltrain Station,22,2016-05-20 21:37:00,Mezes,83,685,94063,Customer
249715,1702,2014-04-15 20:17:00,Japantown,9,2014-04-15 20:45:00,Japantown,9,49,60305,Customer
871985,9699,2015-08-01 19:59:00,Japantown,9,2015-08-01 22:41:00,Japantown,9,488,95054,Customer
212536,872,2014-03-13 12:13:00,Japantown,9,2014-03-13 12:28:00,Japantown,9,672,95031,Customer
363634,1334,2014-07-14 23:40:00,Japantown,9,2014-07-15 00:02:00,Japantown,9,112,95131,Customer
252213,6320,2014-04-17 15:09:00,Japantown,9,2014-04-17 16:54:00,Japantown,9,659,94587,Customer
150636,545,2014-01-12 15:08:00,Japantown,9,2014-01-12 15:18:00,Japantown,9,80,95148,Customer
363633,1361,2014-07-14 23:39:00,Japantown,9,2014-07-15 00:02:00,Japantown,9,12,95121,Customer
163424,3813,2014-01-23 13:41:00,Japantown,9,2014-01-23 14:44:00,Japantown,9,59,95158,Customer
252212,6324,2014-04-17 15:08:00,Japantown,9,2014-04-17 16:54:00,Japantown,9,176,94587,Customer
1279192,320,2016-07-16 09:49:00,Japantown,9,2016-07-16 09:55:00,Japantown,9,64,95132,Customer
871977,10162,2015-08-01 19:51:00,Japantown,9,2015-08-01 22:40:00,Japantown,9,130,95051,Customer
158467,1392,2014-01-18 18:43:00,Japantown,9,2014-01-18 19:07:00,Japantown,9,159,94564,Customer
881594,2775,2015-08-08 16:37:00,Japantown,9,2015-08-08 17:23:00,Japantown,9,104,95136,Customer
1268874,3072,2016-07-08 02:41:00,Japantown,9,2016-07-08 03:32:00,Japantown,9,257,95121,Customer
881584,320,2015-08-08 16:18:00,Japantown,9,2015-08-08 16:23:00,Japantown,9,104,95136,Customer
1268873,3024,2016-07-08 02:41:00,Japantown,9,2016-07-08 03:31:00,Japantown,9,196,95219,Customer
873348,8377,2015-08-03 14:26:00,Japantown,9,2015-08-03 16:45:00,Japantown,9,103,94560,Customer
270637,4427,2014-05-03 15:46:00,Japantown,9,2014-05-03 17:00:00,Japantown,9,658,95124,Customer
881593,2844,2015-08-08 16:36:00,Japantown,9,2015-08-08 17:24:00,Japantown,9,130,95136,Customer
218407,11642,2014-03-18 14:58:00,Japantown,9,2014-03-18 18:12:00,Japantown,9,82,96706,Customer
824959,1484,2015-06-27 14:30:00,Japantown,9,2015-06-27 14:54:00,Japantown,9,154,95120,Customer
824958,1518,2015-06-27 14:29:00,Japantown,9,2015-06-27 14:55:00,Japantown,9,206,95120,Customer
1279841,3486,2016-07-18 00:34:00,Japantown,9,2016-07-18 01:32:00,Japantown,9,149,9133,Customer
1184988,1415,2016-05-02 17:54:00,Japantown,9,2016-05-02 18:17:00,Japantown,9,644,97035,Customer
473196,489435,2014-09-28 18:21:00,Japantown,9,2014-10-04 10:19:00,Japantown,9,685,95116,Customer
815510,10159,2015-06-20 19:02:00,Japantown,9,2015-06-20 21:51:00,Japantown,9,42,44139,Customer
287843,3514,2014-05-16 23:47:00,Japantown,9,2014-05-17 00:46:00,Japantown,9,184,95123,Customer
73163,9875,2013-10-26 15:17:00,Japantown,9,2013-10-26 18:01:00,Japantown,9,686,95164,Customer
956133,1512,2015-10-03 15:48:00,Japantown,9,2015-10-03 16:13:00,Japantown,9,660,95123,Customer
39285,4150,2013-09-29 15:06:00,Japantown,9,2013-09-29 16:15:00,Japantown,9,106,94042,Customer
73162,10006,2013-10-26 15:15:00,Japantown,9,2013-10-26 18:02:00,Japantown,9,143,95164,Customer
25307,1432,2013-09-17 21:19:00,Japantown,9,2013-09-17 21:43:00,Japantown,9,200,95126,Customer
